longitude_deg,latitude_deg,date_utc,integration_s,frequency_hz,amplitude,vlsr_kms
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419423437.5,15.414095925317348,236.07902710000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419428320.3125,19.972046531278888,235.04845509999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419433203.125,18.44670336967004,234.0178832
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419438085.9375,7.791745481464768,232.9873112
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419442968.75,12.379843755974088,231.95673920000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419447851.5625,7.846564773620961,230.9261672
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419452734.375,10.47174371532392,229.8955953
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419457617.1875,10.020498101928636,228.8650233
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419462500.0,10.57629614493295,227.83445129999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419467382.8125,5.204697142707159,226.8038793
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419472265.625,11.680959239763933,225.7733074
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419477148.4375,13.810494188382329,224.74273540000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419482031.25,7.260690200053568,223.71216339999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419486914.0625,7.983120292048061,222.6815914
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419491796.875,7.467401086746767,221.6510195
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419496679.6875,7.755054128006647,220.6204475
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419501562.5,9.037705605013686,219.5898755
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419506445.3125,5.026670928160349,218.5593035
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419511328.125,5.265353642442363,217.5287316
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419516210.9375,3.7722697772843152,216.4981596
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419521093.75,5.516960203777095,215.4675876
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419525976.5625,5.683774183444679,214.43701560000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419530859.375,5.860417938097491,213.4064437
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419535742.1875,6.73521838558863,212.37587169999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419540625.0,1.7208398783047385,211.3452997
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419545507.8125,3.8302788197507183,210.3147277
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419550390.625,6.004572169670096,209.2841558
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419555273.4375,6.128002994430499,208.2535838
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419560156.25,3.4887836175863995,207.2230118
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419565039.0625,7.570990846883441,206.1924398
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419569921.875,4.356382213846584,205.1618679
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419574804.6875,6.667264445910335,204.1312959
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419579687.5,2.728026194315805,203.10072390000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419584570.3125,3.1583228986676164,202.07015189999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419589453.125,-1.2135254893230265,201.03958
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419594335.9375,3.5487671870582753,200.009008
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419599218.75,0.2435950754866497,198.978436
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419604101.5625,-5.609084710572499,197.947864
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419608984.375,15.405602617157424,196.9172921
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419613867.1875,8.660515168609187,195.88672010000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419618750.0,3.491606634296078,194.85614809999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419623632.8125,2.879249724367751,193.8255761
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419628515.625,3.205851400124342,192.7950042
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419633398.4375,3.142855897335709,191.76443220000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419638281.25,2.0571702385661887,190.7338602
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419643164.0625,-0.5884377280770938,189.7032882
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419648046.875,-0.8701825225153046,188.6727162
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419652929.6875,-1.4162782776598453,187.6421443
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419657812.5,0.2703572666071503,186.6115723
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419662695.3125,-1.8921821666357737,185.58100030000003
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419667578.125,-3.028183391070478,184.5504283
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419672460.9375,2.7950281492451268,183.51985639999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419677343.75,-0.9688270914173156,182.4892844
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419682226.5625,-0.8071037725610176,181.4587124
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419687109.375,-1.028797705967375,180.42814040000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419691992.1875,-4.810135249587643,179.3975685
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419696875.0,-12.627889732799405,178.3669965
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419701757.8125,-2.514941993450583,177.3364245
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419706640.625,-1.8812551680690923,176.30585250000001
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419711523.4375,0.1843701823745639,175.2752806
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419716406.25,4.488923059164796,174.24470860000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419721289.0625,3.239050131737079,173.2141366
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419726171.875,8.441439040944463,172.1835646
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419731054.6875,9.014200340760825,171.1529927
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419735937.5,1.4130547756449203,170.1224207
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419740820.3125,-0.6218032770206254,169.0918487
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419745703.125,-0.951982037014412,168.06127669999998
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419750585.9375,10.89589559721776,167.0307048
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419755468.75,-2.717989400173187,166.0001328
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419760351.5625,-14.308086912063915,164.9695608
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419765234.375,5.793476623823348,163.9389888
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419770117.1875,5.642746351596355,162.90841690000002
90.0,0.0,2026-05-11T08:17:34+00:00,74,1419775000.0,-5.372490286638644,161.87784489999999
