# Origin: SALSA
# Telescope: vale
# Date: 2026-05-11T09:51:29+00:00
# Coordinate system: galactic
# Target: 95.0000, 0.0000 deg
# Integration time: 59 s
# VLSR correction: 26218.24 m/s
# Columns: frequency_hz,amplitude,vlsr_mps
frequency_hz,amplitude,vlsr_mps
1419150000,0.9989809724241536,291258.6389
1419154882.8125,6.868774404709292,290228.0669
1419159765.625,3.300542063875128,289197.4950
1419164648.4375,-8.25015384396573,288166.9230
1419169531.25,-11.61739806277815,287136.3510
1419174414.0625,-1.3711324379089405,286105.7790
1419179296.875,1.632771803296826,285075.2071
1419184179.6875,2.1135706458681067,284044.6351
1419189062.5,2.367858510936778,283014.0631
1419193945.3125,-0.9087962748209916,281983.4911
1419198828.125,2.2682362631413757,280952.9192
1419203710.9375,2.6309121269397555,279922.3472
1419208593.75,2.9414297331057147,278891.7752
1419213476.5625,0.41841589842347304,277861.2032
1419218359.375,-0.5463079436173786,276830.6313
1419223242.1875,1.398353703608503,275800.0593
1419228125,-5.718526034232364,274769.4873
1419233007.8125,-23.26733282006598,273738.9153
1419237890.625,-110.41976528128016,272708.3434
1419242773.4375,-7.38182686841565,271677.7714
1419247656.25,4.540187887241443,270647.1994
1419252539.0625,-0.04865999007513992,269616.6274
1419257421.875,2.543029524820476,268586.0555
1419262304.6875,-28.61731340042064,267555.4835
1419267187.5,-1.6230899855519747,266524.9115
1419272070.3125,3.227332855274601,265494.3395
1419276953.125,4.971783084600191,264463.7676
1419281835.9375,7.710925727278742,263433.1956
1419286718.75,5.439408898040229,262402.6236
1419291601.5625,6.351653204246435,261372.0516
1419296484.375,4.152909850012195,260341.4797
1419301367.1875,-0.4953309139119711,259310.9077
1419306250,-1.221127609210854,258280.3357
1419311132.8125,5.417099766559806,257249.7637
1419316015.625,4.016400686013823,256219.1918
1419320898.4375,0.016047726421215127,255188.6198
1419325781.25,2.8101153758578183,254158.0478
1419330664.0625,5.664969513121679,253127.4758
1419335546.875,4.682635296986338,252096.9039
1419340429.6875,7.49984892854831,251066.3319
1419345312.5,7.267167962278895,250035.7599
1419350195.3125,15.506050617563824,249005.1879
1419355078.125,16.66775106393917,247974.6160
1419359960.9375,10.126402565979324,246944.0440
1419364843.75,16.053890476723524,245913.4720
1419369726.5625,6.372316363723032,244882.9000
1419374609.375,3.7187153262661505,243852.3281
1419379492.1875,0.46584547263955994,242821.7561
1419384375,-2.2688052836599972,241791.1841
1419389257.8125,3.483820919431176,240760.6121
1419394140.625,3.889032171886832,239730.0402
1419399023.4375,4.43801246966521,238699.4682
1419403906.25,8.87704473121146,237668.8962
1419408789.0625,8.812652088343649,236638.3242
1419413671.875,18.842980203790813,235607.7523
1419418554.6875,17.49786300547693,234577.1803
1419423437.5,8.588339975665168,233546.6083
1419428320.3125,12.906509317460443,232516.0363
1419433203.125,13.383289280457545,231485.4644
1419438085.9375,-5.538344944827892,230454.8924
1419442968.75,4.682697072884202,229424.3204
1419447851.5625,-2.0641909682298243,228393.7484
1419452734.375,8.423486654736852,227363.1765
1419457617.1875,7.912910940703418,226332.6045
1419462500,4.893028668645628,225302.0325
1419467382.8125,5.760733810732517,224271.4605
1419472265.625,13.232596644612892,223240.8886
1419477148.4375,10.417529794240815,222210.3166
1419482031.25,11.870687194760832,221179.7446
1419486914.0625,4.539320499238929,220149.1726
1419491796.875,1.391760658251149,219118.6006
1419496679.6875,10.024582284449073,218088.0287
1419501562.5,9.94594545008106,217057.4567
1419506445.3125,2.6851558889396543,216026.8847
1419511328.125,5.697446373864428,214996.3127
1419516210.9375,3.967556612517623,213965.7408
1419521093.75,7.208785253208664,212935.1688
1419525976.5625,7.15097029407036,211904.5968
1419530859.375,6.080395410776149,210874.0248
1419535742.1875,8.550748657683465,209843.4529
1419540625,1.1922868216441975,208812.8809
1419545507.8125,2.7556454484072854,207782.3089
1419550390.625,6.537103734637257,206751.7369
1419555273.4375,5.867608753079881,205721.1650
1419560156.25,5.659420558157086,204690.5930
1419565039.0625,5.5156950260512385,203660.0210
1419569921.875,8.876867872898817,202629.4490
1419574804.6875,9.516494797182167,201598.8771
1419579687.5,4.274614179313331,200568.3051
1419584570.3125,5.389210304300273,199537.7331
1419589453.125,-0.5346078107442002,198507.1611
1419594335.9375,5.304140561451095,197476.5892
1419599218.75,5.10748709867556,196446.0172
1419604101.5625,1.86431374153586,195415.4452
1419608984.375,17.900243703297082,194384.8732
1419613867.1875,10.725164203392785,193354.3013
1419618750,7.823479736488963,192323.7293
1419623632.8125,5.841290676897384,191293.1573
1419628515.625,4.9922927362945035,190262.5853
1419633398.4375,6.504878017986514,189232.0134
1419638281.25,4.534182133197801,188201.4414
1419643164.0625,2.541883638355725,187170.8694
1419648046.875,3.0610021118257142,186140.2974
1419652929.6875,5.5494430775960994,185109.7255
1419657812.5,2.69006792066855,184079.1535
1419662695.3125,0.7455180757167355,183048.5815
1419667578.125,-0.5258090015520749,182018.0095
1419672460.9375,10.6358238644647,180987.4376
1419677343.75,7.478043037844288,179956.8656
1419682226.5625,5.108099159757835,178926.2936
1419687109.375,4.517405297126413,177895.7216
1419691992.1875,1.5610581488690698,176865.1497
1419696875,-7.944715973370086,175834.5777
1419701757.8125,0.9345347637381974,174804.0057
1419706640.625,4.753006908045077,173773.4337
1419711523.4375,5.161854305147344,172742.8618
1419716406.25,8.720518144527569,171712.2898
1419721289.0625,12.942477592060865,170681.7178
1419726171.875,25.33248270979193,169651.1458
1419731054.6875,17.35009030675588,168620.5739
1419735937.5,10.603448557977767,167590.0019
1419740820.3125,7.800851610441148,166559.4299
1419745703.125,8.119307060066307,165528.8579
1419750585.9375,13.070412280388036,164498.2860
1419755468.75,17.105437815602006,163467.7140
1419760351.5625,-8.931287353878892,162437.1420
1419765234.375,10.826288541160595,161406.5700
1419770117.1875,12.695359101695022,160375.9981
1419775000,1.637810256089598,159345.4261
1419779882.8125,7.7517395912496445,158314.8541
1419784765.625,4.418898568845334,157284.2821
1419789648.4375,-3.1756248582835567,156253.7102
1419794531.25,-1.619146795744189,155223.1382
