# Origin: SALSA
# Telescope: vale
# Date: 2026-05-11T08:31:43+00:00
# Coordinate system: galactic
# Target: 35.0000, 0.0000 deg
# Integration time: 59 s
# VLSR correction: 39353.16 m/s
# Columns: frequency_hz,amplitude,vlsr_mps
frequency_hz,amplitude,vlsr_mps
1419150000,6.615369044737288,304393.5604
1419154882.8125,6.52279809582248,303362.9884
1419159765.625,6.3755935274636375,302332.4164
1419164648.4375,3.866045528941813,301301.8445
1419169531.25,3.1350720143616906,300271.2725
1419174414.0625,5.842035818766601,299240.7005
1419179296.875,9.615891564556176,298210.1285
1419184179.6875,10.348182947081057,297179.5566
1419189062.5,14.616989401887556,296148.9846
1419193945.3125,13.512429752854786,295118.4126
1419198828.125,16.13705029003787,294087.8406
1419203710.9375,15.672969251173852,293057.2686
1419208593.75,13.905211260750974,292026.6967
1419213476.5625,12.222842573706137,290996.1247
1419218359.375,14.923682868515147,289965.5527
1419223242.1875,15.871799456468093,288934.9807
1419228125,10.80857468496204,287904.4088
1419233007.8125,11.646077800408124,286873.8368
1419237890.625,-39.170227562040054,285843.2648
1419242773.4375,19.792406252411176,284812.6928
1419247656.25,16.66914730195061,283782.1209
1419252539.0625,16.146787553359662,282751.5489
1419257421.875,40.32202243015928,281720.9769
1419262304.6875,15.415601039816623,280690.4049
1419267187.5,18.25074916176144,279659.8330
1419272070.3125,20.529677895505905,278629.2610
1419276953.125,19.73010761616832,277598.6890
1419281835.9375,26.30369579504551,276568.1170
1419286718.75,20.60792368808697,275537.5451
1419291601.5625,21.56569409647164,274506.9731
1419296484.375,18.88601994240168,273476.4011
1419301367.1875,21.288700005434144,272445.8291
1419306250,18.22467106355447,271415.2572
1419311132.8125,22.655495825090632,270384.6852
1419316015.625,20.9420770408879,269354.1132
1419320898.4375,21.749776317931246,268323.5412
1419325781.25,16.605966057809706,267292.9693
1419330664.0625,25.223561938529112,266262.3973
1419335546.875,23.16292209079294,265231.8253
1419340429.6875,18.775117642769946,264201.2533
1419345312.5,21.952028478980377,263170.6814
1419350195.3125,26.17281347137912,262140.1094
1419355078.125,25.692054416571313,261109.5374
1419359960.9375,21.23946242434095,260078.9654
1419364843.75,26.309337933418135,259048.3935
1419369726.5625,24.703426908119713,258017.8215
1419374609.375,22.029226019416875,256987.2495
1419379492.1875,18.78699042868276,255956.6775
1419384375,16.642819573594593,254926.1056
1419389257.8125,21.05561567664221,253895.5336
1419394140.625,21.71608252376715,252864.9616
1419399023.4375,22.74323518047147,251834.3896
1419403906.25,23.706062535943776,250803.8177
1419408789.0625,20.773328439256055,249773.2457
1419413671.875,25.090415267761266,248742.6737
1419418554.6875,26.242459447607555,247712.1017
1419423437.5,23.47535072338209,246681.5298
1419428320.3125,22.73575007936421,245650.9578
1419433203.125,21.652487433681937,244620.3858
1419438085.9375,15.943922856516751,243589.8138
1419442968.75,18.267683505212943,242559.2419
1419447851.5625,16.39412800869199,241528.6699
1419452734.375,15.309125431591612,240498.0979
1419457617.1875,12.295549795816656,239467.5259
1419462500,17.034371959004222,238436.9540
1419467382.8125,15.195257545043123,237406.3820
1419472265.625,18.080553887891583,236375.8100
1419477148.4375,17.26229221843916,235345.2380
1419482031.25,17.78106925286088,234314.6661
1419486914.0625,10.766149076047869,233284.0941
1419491796.875,14.224219882390996,232253.5221
1419496679.6875,17.100716308237104,231222.9501
1419501562.5,12.864311991957658,230192.3782
1419506445.3125,14.209884214346344,229161.8062
1419511328.125,15.83104813601098,228131.2342
1419516210.9375,12.88493748049416,227100.6622
1419521093.75,13.594964142364708,226070.0903
1419525976.5625,16.98242995398105,225039.5183
1419530859.375,13.820323701016076,224008.9463
1419535742.1875,14.068870952339903,222978.3743
1419540625,8.674546352403114,221947.8024
1419545507.8125,15.767068278929868,220917.2304
1419550390.625,13.506344606527929,219886.6584
1419555273.4375,17.599628102988316,218856.0864
1419560156.25,16.52569204912022,217825.5145
1419565039.0625,14.266795699335216,216794.9425
1419569921.875,17.5844964884621,215764.3705
1419574804.6875,17.166992239126838,214733.7985
1419579687.5,13.07362983604568,213703.2266
