# Origin: SALSA
# Telescope: vale
# Date: 2026-05-11T08:22:47+00:00
# Coordinate system: galactic
# Target: 65.0000, 0.0000 deg
# Integration time: 60 s
# VLSR correction: 37853.29 m/s
# Columns: frequency_hz,amplitude,vlsr_mps
frequency_hz,amplitude,vlsr_mps
1419150000,6.36649570778212,302893.6915
1419154882.8125,6.624414337866383,301863.1196
1419159765.625,6.463767152220811,300832.5476
1419164648.4375,-0.8511050371923954,299801.9756
1419169531.25,1.2808664459273895,298771.4036
1419174414.0625,2.732622335941151,297740.8317
1419179296.875,9.420465133818553,296710.2597
1419184179.6875,9.376627289042489,295679.6877
1419189062.5,12.394081472498948,294649.1157
1419193945.3125,10.883843863952194,293618.5438
1419198828.125,9.315075287572782,292587.9718
1419203710.9375,13.44647851333678,291557.3998
1419208593.75,11.694727026079685,290526.8278
1419213476.5625,13.037358569999691,289496.2559
1419218359.375,14.873092988587528,288465.6839
1419223242.1875,15.468740952448744,287435.1119
1419228125,4.403808281165618,286404.5399
1419233007.8125,3.478295563636552,285373.9680
1419237890.625,-73.83014777971898,284343.3960
1419242773.4375,12.305808635980826,283312.8240
1419247656.25,15.28921467534134,282282.2520
1419252539.0625,11.971768494517788,281251.6801
1419257421.875,18.400421144778967,280221.1081
1419262304.6875,10.920656076349802,279190.5361
1419267187.5,13.875245880594957,278159.9641
1419272070.3125,18.05301714894584,277129.3922
1419276953.125,17.481407605706515,276098.8202
1419281835.9375,22.82215137624167,275068.2482
1419286718.75,21.697607449428016,274037.6762
1419291601.5625,19.970618028133845,273007.1043
1419296484.375,15.579119329683593,271976.5323
1419301367.1875,17.26363469891292,270945.9603
1419306250,14.135836972409416,269915.3883
1419311132.8125,20.714443736912397,268884.8164
1419316015.625,19.841587101863094,267854.2444
1419320898.4375,15.831067570523084,266823.6724
1419325781.25,17.22644289013395,265793.1004
1419330664.0625,22.111650568098742,264762.5285
1419335546.875,22.564298034948468,263731.9565
1419340429.6875,21.174369810846343,262701.3845
1419345312.5,22.278431658096217,261670.8125
1419350195.3125,25.781546644276855,260640.2406
1419355078.125,31.075489699777133,259609.6686
1419359960.9375,22.620093498842795,258579.0966
1419364843.75,23.3494639335026,257548.5246
1419369726.5625,23.055402628977316,256517.9527
1419374609.375,19.24118908381012,255487.3807
1419379492.1875,15.348770917100092,254456.8087
1419384375,14.558605233619032,253426.2367
1419389257.8125,20.371255632231907,252395.6648
1419394140.625,18.275833643938483,251365.0928
1419399023.4375,20.39769747652818,250334.5208
1419403906.25,24.08227632572071,249303.9488
1419408789.0625,20.971468127820696,248273.3769
1419413671.875,27.956002866588545,247242.8049
1419418554.6875,29.79783731867034,246212.2329
1419423437.5,20.04379749504221,245181.6609
1419428320.3125,23.425243641331992,244151.0889
1419433203.125,19.07787560612208,243120.5170
1419438085.9375,11.428098942159291,242089.9450
1419442968.75,18.447708221382065,241059.3730
1419447851.5625,12.011693387177546,240028.8010
1419452734.375,14.838776601824108,238998.2291
1419457617.1875,15.001212657832603,237967.6571
1419462500,13.281991385708894,236937.0851
1419467382.8125,12.965165932359028,235906.5131
1419472265.625,13.30989645886208,234875.9412
1419477148.4375,15.61448269557936,233845.3692
1419482031.25,14.79764173048052,232814.7972
1419486914.0625,10.198056547097403,231784.2252
1419491796.875,13.504040490672972,230753.6533
1419496679.6875,14.270233095116584,229723.0813
1419501562.5,13.01403557846196,228692.5093
1419506445.3125,9.327422083362862,227661.9373
1419511328.125,12.001197766605104,226631.3654
1419516210.9375,8.411337672812918,225600.7934
1419521093.75,9.095736236893137,224570.2214
1419525976.5625,11.613562393531296,223539.6494
1419530859.375,9.030572615312083,222509.0775
1419535742.1875,10.077665339317274,221478.5055
1419540625,4.52216309416468,220447.9335
1419545507.8125,11.713684090208064,219417.3615
1419550390.625,10.879852520354776,218386.7896
1419555273.4375,13.276860191258624,217356.2176
1419560156.25,11.269115612467033,216325.6456
1419565039.0625,11.788109138621715,215295.0736
1419569921.875,11.058083763480036,214264.5017
1419574804.6875,13.438102791459103,213233.9297
1419579687.5,10.82086564942515,212203.3577
1419584570.3125,10.356837616277891,211172.7857
1419589453.125,5.412124363018461,210142.2138
1419594335.9375,7.898643091255848,209111.6418
1419599218.75,8.549936869281092,208081.0698
1419604101.5625,5.551990450064134,207050.4978
1419608984.375,13.067821289190382,206019.9259
1419613867.1875,12.504765919429657,204989.3539
1419618750,8.445299846852103,203958.7819
1419623632.8125,8.24450768135598,202928.2099
1419628515.625,10.179464306567557,201897.6380
1419633398.4375,8.374866818160125,200867.0660
1419638281.25,11.0647453345103,199836.4940
1419643164.0625,10.764643658088843,198805.9220
1419648046.875,9.813120864793715,197775.3501
1419652929.6875,7.900657336523688,196744.7781
1419657812.5,4.855830327339311,195714.2061
1419662695.3125,7.082220357506279,194683.6341
1419667578.125,4.108287176450836,193653.0622
1419672460.9375,11.579085882688137,192622.4902
1419677343.75,6.502825276012897,191591.9182
1419682226.5625,7.885305180166521,190561.3462
1419687109.375,7.707136382792526,189530.7743
1419691992.1875,3.4540555700281805,188500.2023
1419696875,-3.451790033198093,187469.6303
1419701757.8125,8.405249214889745,186439.0583
1419706640.625,7.656123101885532,185408.4864
1419711523.4375,6.551011586721879,184377.9144
1419716406.25,11.267469254084563,183347.3424
1419721289.0625,11.823178225152722,182316.7704
1419726171.875,14.00244218845283,181286.1985
1419731054.6875,14.818994868186763,180255.6265
1419735937.5,10.681204880024527,179225.0545
1419740820.3125,10.235702406268445,178194.4825
1419745703.125,9.724417437890432,177163.9106
1419750585.9375,18.5779912976572,176133.3386
1419755468.75,5.527141674310022,175102.7666
1419760351.5625,-4.492893560742999,174072.1946
1419765234.375,15.931870812960764,173041.6227
1419770117.1875,16.43925278595461,172011.0507
1419775000,4.483788272236404,170980.4787
1419779882.8125,9.434454448137403,169949.9067
1419784765.625,6.058764508668291,168919.3348
1419789648.4375,-1.463048171098025,167888.7628
1419794531.25,1.5441146386916829,166858.1908
1419799414.0625,3.291718218511107,165827.6188
1419804296.875,5.045604652787275,164797.0469
1419809179.6875,9.328257015480125,163766.4749
1419814062.5,7.567113224572037,162735.9029
1419818945.3125,4.448684160673798,161705.3309
1419823828.125,7.372644881597173,160674.7589
1419828710.9375,5.021748474796991,159644.1870
1419833593.75,11.788574396444677,158613.6150
1419838476.5625,9.265467897133098,157583.0430
1419843359.375,3.8308696342069934,156552.4710
1419848242.1875,0.3954673883254663,155521.8991
1419853125,-9.504083526850938,154491.3271
1419858007.8125,4.470023894534184,153460.7551
1419862890.625,2.606685892905001,152430.1831
1419867773.4375,8.743932065464554,151399.6112
1419872656.25,6.604994132952423,150369.0392
1419877539.0625,-0.01793597294636167,149338.4672
1419882421.875,-1.872925965135836,148307.8952
1419887304.6875,3.9625712774327377,147277.3233
1419892187.5,-0.20134520539234865,146246.7513
1419897070.3125,5.244588135564698,145216.1793
1419901953.125,7.782616834186449,144185.6073
1419906835.9375,4.304518131198681,143155.0354
1419911718.75,5.05841975685422,142124.4634
1419916601.5625,2.0873697225096945,141093.8914
1419921484.375,2.306336500272415,140063.3194
1419926367.1875,4.162523576999649,139032.7475
1419931250,4.0460676917249785,138002.1755
1419936132.8125,11.72417068361268,136971.6035
1419941015.625,2.817055202674701,135941.0315
1419945898.4375,-7.939781703481032,134910.4596
1419950781.25,-1.116041223996962,133879.8876
1419955664.0625,3.619441222129823,132849.3156
1419960546.875,4.2242581368071574,131818.7436
1419965429.6875,-1.452220634794024,130788.1717
1419970312.5,3.785121782034545,129757.5997
1419975195.3125,4.467734906978705,128727.0277
1419980078.125,1.8132986952926928,127696.4557
1419984960.9375,1.2471767669502585,126665.8838
1419989843.75,3.2412443945083567,125635.3118
1419994726.5625,2.028104495416984,124604.7398
1419999609.375,0.9438242353966276,123574.1678
1420004492.1875,1.024453068230763,122543.5959
1420009375,-1.9130066236886352,121513.0239
1420014257.8125,4.765286940677089,120482.4519
1420019140.625,11.145604067589392,119451.8799
1420024023.4375,0.8368116980249747,118421.3080
1420028906.25,3.3142836167375895,117390.7360
1420033789.0625,2.4598783771770556,116360.1640
1420038671.875,-5.468538145435294,115329.5920
1420043554.6875,-8.049737373217308,114299.0201
1420048437.5,0.7590553904356335,113268.4481
1420053320.3125,-1.3482568498756982,112237.8761
1420058203.125,-1.0350581367884952,111207.3041
1420063085.9375,-0.8974288303485938,110176.7322
1420067968.75,-0.93984073974876,109146.1602
1420072851.5625,-1.614932782601327,108115.5882
1420077734.375,3.4096980574811737,107085.0162
1420082617.1875,2.5318763009241607,106054.4443
1420087500,1.8609167501242805,105023.8723
1420092382.8125,3.179894745897628,103993.3003
1420097265.625,-0.9088239773806596,102962.7283
1420102148.4375,-2.0180806759019303,101932.1564
1420107031.25,0.2000155311406751,100901.5844
1420111914.0625,-1.0050985774297512,99871.0124
1420116796.875,-0.2156703836754628,98840.4404
1420121679.6875,1.3850250268863196,97809.8685
1420126562.5,-3.976743682870637,96779.2965
1420131445.3125,-5.999529778226262,95748.7245
1420136328.125,-9.02385243826614,94718.1525
1420141210.9375,0.014085853945249536,93687.5806
1420146093.75,2.8506758322406585,92657.0086
1420150976.5625,0.4825320797841609,91626.4366
1420155859.375,0.9191937626650244,90595.8646
1420160742.1875,-1.955068922563085,89565.2927
1420165625,-2.045773375568493,88534.7207
1420170507.8125,0.2618221988327007,87504.1487
1420175390.625,4.37047252625877,86473.5767
1420180273.4375,1.5282182249218723,85443.0048
1420185156.25,-5.249643420721433,84412.4328
1420190039.0625,-3.7602039029446206,83381.8608
1420194921.875,-3.697816095468149,82351.2888
1420199804.6875,-1.150169668366843,81320.7169
1420204687.5,-2.327493864886404,80290.1449
1420209570.3125,-0.7976359770829917,79259.5729
1420214453.125,-0.8679873415069439,78229.0009
1420219335.9375,-9.167918392350996,77198.4290
1420224218.75,-7.647410680815426,76167.8570
1420229101.5625,-12.213621535535063,75137.2850
1420233984.375,-3.2731380443322697,74106.7130
1420238867.1875,-0.4744866224469912,73076.1410
1420243750,-3.2458199544232285,72045.5691
1420248632.8125,-0.4155794937314335,71014.9971
1420253515.625,-3.1456830718127735,69984.4251
1420258398.4375,-11.23368288405332,68953.8531
1420263281.25,-7.034674556376836,67923.2812
1420268164.0625,-2.4002861172950447,66892.7092
1420273046.875,-3.473814902789044,65862.1372
1420277929.6875,-3.5138576846773897,64831.5652
1420282812.5,-3.4134845524428745,63800.9933
1420287695.3125,-0.7899758109290056,62770.4213
1420292578.125,-2.2036503796188343,61739.8493
1420297460.9375,-2.257981993862955,60709.2773
1420302343.75,0.3898718803567388,59678.7054
1420307226.5625,0.6072078559810647,58648.1334
1420312109.375,9.817122857807902,57617.5614
1420316992.1875,-1.9697975707914763,56586.9894
1420321875,-10.707934147577388,55556.4175
1420326757.8125,-1.656053306646602,54525.8455
1420331640.625,0.8839755594494999,53495.2735
1420336523.4375,1.679200662901016,52464.7015
1420341406.25,-1.952506680782495,51434.1296
1420346289.0625,-1.4387966623739383,50403.5576
1420351171.875,-5.0833774697695855,49372.9856
1420356054.6875,-10.844449633042156,48342.4136
1420360937.5,-2.1723225102085797,47311.8417
1420365820.3125,2.0120115703276205,46281.2697
1420370703.125,2.9129402765973773,45250.6977
1420375585.9375,3.844826641017415,44220.1257
1420380468.75,2.191783598526894,43189.5538
1420385351.5625,1.555937564344141,42158.9818
1420390234.375,6.3899063962778655,41128.4098
1420395117.1875,8.68694221324105,40097.8378
1420400000,6.860213742059783,39067.2659
1420404882.8125,5.9951134088482965,38036.6939
1420409765.625,10.635421907560882,37006.1219
1420414648.4375,9.653702621270837,35975.5499
1420419531.25,11.615648026200208,34944.9780
1420424414.0625,13.188052569591571,33914.4060
1420429296.875,12.772675947801384,32883.8340
1420434179.6875,18.50865484388144,31853.2620
1420439062.5,21.782014804705103,30822.6901
1420443945.3125,22.60272463432703,29792.1181
1420448828.125,20.80596706640026,28761.5461
1420453710.9375,33.31749320306188,27730.9741
1420458593.75,32.79128315974784,26700.4022
1420463476.5625,31.602240490921627,25669.8302
1420468359.375,26.765947095621772,24639.2582
1420473242.1875,43.465817366919005,23608.6862
1420478125,27.32924869840014,22578.1143
1420483007.8125,45.40635410299886,21547.5423
1420487890.625,52.34007379454408,20516.9703
1420492773.4375,52.916677629497265,19486.3983
1420497656.25,55.827464669143616,18455.8264
1420502539.0625,57.3194975930888,17425.2544
1420507421.875,57.14402433634746,16394.6824
1420512304.6875,59.235909987156745,15364.1104
1420517187.5,58.40839302514407,14333.5385
1420522070.3125,55.67911836276744,13302.9665
1420526953.125,57.59973203368865,12272.3945
1420531835.9375,63.63706974261915,11241.8225
1420536718.75,64.64947887226913,10211.2506
1420541601.5625,66.79491576738717,9180.6786
1420546484.375,67.6481133991594,8150.1066
1420551367.1875,61.598023805620734,7119.5346
1420556250,61.62058212017699,6088.9627
1420561132.8125,58.97035595910528,5058.3907
1420566015.625,49.458521097073834,4027.8187
1420570898.4375,35.52411576965452,2997.2467
1420575781.25,36.5638680829869,1966.6748
1420580664.0625,32.48862473369586,936.1028
1420585546.875,31.428003351312363,-94.4692
1420590429.6875,28.49321247184627,-1125.0412
1420595312.5,22.6575452103568,-2155.6131
1420600195.3125,21.28812253313874,-3186.1851
1420605078.125,25.084081118406655,-4216.7571
1420609960.9375,19.55578892627923,-5247.3291
1420614843.75,19.32146820938483,-6277.9010
1420619726.5625,16.978577200717574,-7308.4730
1420624609.375,16.116368325471573,-8339.0450
1420629492.1875,13.499298066340804,-9369.6170
1420634375,10.526532059517027,-10400.1889
1420639257.8125,6.854609983227788,-11430.7609
1420644140.625,14.162170010061375,-12461.3329
1420649023.4375,12.13181760301018,-13491.9049
1420653906.25,6.888592793523934,-14522.4769
1420658789.0625,7.834174636838318,-15553.0488
1420663671.875,5.149601910640377,-16583.6208
1420668554.6875,4.558603671353182,-17614.1928
1420673437.5,3.798019244213001,-18644.7648
1420678320.3125,4.986341938984341,-19675.3367
1420683203.125,4.216700247084117,-20705.9087
1420688085.9375,0.3608621146388663,-21736.4807
1420692968.75,-3.4506491815188864,-22767.0527
1420697851.5625,-12.934319601490571,-23797.6246
1420702734.375,-4.1154287635962845,-24828.1966
1420707617.1875,-3.976415108651753,-25858.7686
1420712500,-4.939626436388147,-26889.3406
1420717382.8125,-16.61577981400841,-27919.9125
1420722265.625,-9.151629986593363,-28950.4845
1420727148.4375,-19.275793031176335,-29981.0565
1420732031.25,-11.259045925013806,-31011.6285
1420736914.0625,-8.424718686017085,-32042.2004
1420741796.875,-11.912906245148903,-33072.7724
1420746679.6875,-6.358855717226184,-34103.3444
1420751562.5,-8.020190173094969,-35133.9164
1420756445.3125,-15.881444771920682,-36164.4883
1420761328.125,-11.10285294245088,-37195.0603
1420766210.9375,-8.562990047850802,-38225.6323
1420771093.75,-10.853029449595104,-39256.2043
1420775976.5625,-4.450348427691916,-40286.7762
1420780859.375,-1.851324262433107,-41317.3482
1420785742.1875,-1.4293173082627029,-42347.9202
1420790625,-5.253058807148312,-43378.4922
1420795507.8125,-4.5560618467891,-44409.0641
